Experiment Name	Sample Name	Run Date	PROM ID	Flow Cell ID	Data output (Gb)	N50 (kb)	MinKNOW Version	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Pore Count
PPMI_3271	PPMI_3271	2024-03-25	PC48B080	PAW28552	99.948	33.2	23.11.7	NA	NA	7112	6604
PPMI_3462	PPMI_3462	2023-08-07	PC48B080	PAO12997	72.068	51.38	22.10.7	NA	NA	8550	7770
PPMI_4054	PPMI_4054_topup	2024-03-15	PC48B098	PAS45828	18.653	29.92	23.11.7	NA	NA	2640	2637
PPMI_3585	PPMI_3585	2024-03-25	PC48B080	PAW17248	80.198	26.87	23.11.7	NA	NA	6920	6269
PPMI_3631	PPMI_3631	2024-03-21	PC48B080	PAW05746	24.709	27.0	23.11.7	NA	NA	4517	3950
PPMI_3201	PPMI_3201	2024-03-05	PC48B098	PAU54613	86.96	29.42	23.11.7	NA	NA	6909	6233
PPMI_3807	PPMI_3807_topup	2024-02-29	PC48B080	PAU70344	26.084	31.68	23.11.7	NA	NA	4908	4194
PPMI_52932	PPMI_52932	2023-04-25	PC48B080	PAK70026	70.04	36.36	22.10.7	NA	NA	7226	6404
PPMI_3636	PPMI_3636	2023-04-20	PC48B098	PAK81747	64.888	34.75	22.10.7	NA	NA	7559	6924
PPMI_3512	PPMI_3512	2024-03-25	PC48B098	PAU38820	95.88	31.55	23.11.7	NA	NA	6895	6160
PPMI_4036	PPMI_4036	2023-07-10	PC48B098	PAO13048	40.146	36.18	22.10.7	NA	NA	6963	6373
PPMI_4064	PPMI_4064	2023-06-13	PC48B080	PAO91787	25.545	34.09	22.10.7	NA	NA	7037	5356
PPMI_3281_topup	PPMI_3281_topup	2024-03-11	PC48B098	PAS45697	20.304	32.47	23.11.7	NA	NA	3764	3442
PPMI_4136	PPMI_4136	2023-06-26	PC24B302	PAO96952	48.245	37.58	22.10.7	NA	NA	7648	6721
PPMI_3559	PPMI_3559	2023-07-11	PC48B098	PAO98839	64.84	35.7	22.10.7	NA	NA	7358	6844
PPMI_3665	PPMI_3665	2024-03-05	PC24B302	PAU32242	79.541	31.13	23.11.7	NA	NA	7532	6735
PPMI_3803	PPMI_3803	2024-02-28	PC48B080	PAU54572	42.787	27.89	23.11.7	NA	NA	7078	6382
PPMI_3166-1814	PPMI_3166-1814	2023-08-15	PC48B098	PAQ82297	82.567	31.82	22.10.7	NA	NA	6928	6455
PPMI_4038	PPMI_4038	2023-07-11	PC48B098	PAQ08471	70.066	32.56	22.10.7	NA	NA	7875	7099
PPMI_51844	PPMI_51844_topup	2024-03-15	PC48B098	PAS64255	36.085	31.47	23.11.7	NA	NA	5904	5288
PPMI_54991	PPMI_54991	2023-04-25	PC48B080	PAM03900	81.72	32.69	22.10.7	NA	NA	8087	7441
PPMI_3270	PPMI_3270_topup	2024-03-22	PC48B098	PAS46764	31.548	27.35	23.11.7	NA	NA	4386	4067
PPMI_50379	PPMI_50379	2023-09-20	PC48B098	PAS31662	69.385	33.47	22.10.7	NA	NA	7289	6706
PPMI_4033	PPMI_4033	2023-04-20	PC48B098	PAO39054	66.803	29.28	22.10.7	NA	NA	7492	6690
PPMI_3320	PPMI_3320	2023-04-25	PC48B080	PAM03576	62.739	33.71	22.10.7	NA	NA	8667	8045
PPMI_3368	PPMI_3368	2024-03-20	PC48B080	PAW19784	72.258	30.32	23.11.7	NA	NA	6685	5900
PPMI_3804	PPMI_3804_topup	2024-02-29	PC48B080	PAS62242	34.276	32.51	23.11.7	NA	NA	5337	4844
PPMI_3469	PPMI_3469	2023-06-05	PC48B098	PAQ02677	97.884	34.66	22.10.7	NA	NA	7609	7078
PPMI_58182	PPMI_58182	2023-04-19	PC48B098	PAO55546	59.537	32.75	22.10.7	NA	NA	8569	7770
PPMI_3953	PPMI_3953	2023-07-11	PC48B080	PAQ08189	52.964	34.99	22.10.7	NA	NA	8028	6969
PPMI_3819	PPMI_3819	2024-02-27	PC24B302	PAU56778	64.33	31.67	23.11.7	NA	NA	7178	6162
PPMI_12593	PPMI_12593	2023-09-20	PC48B098	PAS32187	51.4	32.08	22.10.7	NA	NA	7012	6129
PPMI_3592	PPMI_3592	2023-06-06	PC48B080	PAO97025	0.048	10.22	22.10.7	NA	NA	8143	NA
PPMI_3428	PPMI_3428_topup	2024-04-08	PC48B080	PAQ74172	60.801	33.06	23.11.7	NA	NA	5832	5494
PPMI_41430	PPMI_41430	2024-03-12	PC48B080	PAW25364	76.652	28.27	23.11.7	NA	NA	7285	6261
PPMI_3237-4823	PPMI_3237-4823	2023-06-12	PC24B302	PAO96644	67.647	30.34	22.10.7	NA	NA	7963	7527
PPMI_4094	PPMI_4094	2023-04-26	PC48B098	PAO20010	67.571	31.6	22.10.7	NA	NA	7115	6533
PPMI_3354	PPMI_3354	2023-05-04	PC48B098	PAO94913	43.133	37.07	22.10.7	NA	NA	7805	7558
PPMI_3629	PPMI_3629	2023-06-12	PC24B302	PAO99671	94.875	35.5	22.10.7	NA	NA	8027	7677
PPMI_51518	PPMI_51518	2023-04-19	PC48B098	PAO48090	72.812	32.25	22.10.7	NA	NA	7909	7118
PPMI_3253	PPMI_3253	2023-07-05	PC48B098	PAQ00427	56.438	26.23	22.10.7	NA	NA	6787	6395
PPMI_3953	PPMI_3953	2023-07-13	PC48B080	PAQ01363	22.841	30.4	22.10.7	NA	NA	6347	5146
PPMI_3390	PPMI_3390_topup	2024-03-15	PC48B098	PAS46448	30.907	31.64	23.11.7	NA	NA	5319	4872
PPMI_3569	PPMI_3569	2023-07-05	PC48B098	PAQ10380	58.45	39.78	22.10.7	NA	NA	6843	5945
PPMI_3520A	PPMI_3520A	2023-03-15	PC48B098	PAK81672	44.76	33.13	22.10.7	NA	NA	7804	6828
PPMI_3309	PPMI_3309	2024-02-06	PC48B098	PAU53616	98.765	25.15	23.11.7	NA	NA	7552	6849
PPMI_3131_topup	PPMI_3131_topup	2024-03-11	PC48B098	PAS65568	28.677	31.28	23.11.7	NA	NA	5375	4720
PPMI_50860	PPMI_50860	2023-10-23	PC48B098	PAS45694	105.651	31.79	22.10.7	NA	NA	7217	6735
PPMI_53600	PPMI_53600	2023-10-23	PC48B098	PAS44637	71.894	30.63	22.10.7	NA	NA	7250	6769
PPMI_4123	PPMI_4123	2023-06-06	PC48B080	PAO99819	67.612	33.88	22.10.7	NA	NA	6620	5921
